,id,client_id,number_words,tone,language_pair,quality_score,price,client_id
35,C05739597,32.0,790,informal,pt_en,-1,-1,7c5dcba85304247985b5d02fcfb271d33fe1392f9be2d44c87de48273aa4e215
36,C05739600,185.0,519,formal,fr_de,-1,-1,18ed578fb9a74e501b2cb547bd2ecd8d49c5a5e2aa6a192547de2a5608944a72
37,C05739605,32.0,1004,informal,pt_en,-1,-1,417399241f4558806117eccd2b124e82fa03486236a24e70e032d252b97d60cd
38,C05739606,81.0,1012,informal,nl_en,-1,-1,23a2b90d03cc12039fa8e0f4a765c322b98fa0bda466f2bf76178ba235699adc
39,C05739607,32.0,115,formal,nl_en,-1,-1,417399241f4558806117eccd2b124e82fa03486236a24e70e032d252b97d60cd
40,C05739608,87.0,270,informal,nl_en,-1,-1,ce47137c2d64dd385a15b23687a9899bc78cf4bac0e2b660cc6453f46a5a82fe
41,C05739609,22.0,158,formal,fr_de,-1,-1,896eaafb9691dd3992336145e0b80bb71fdcded7fca60380d9337981505ff682
42,C05739610,80.0,13462,informal,fr_de,-1,-1,6012db2cb5c51650f773b8ace525ca3db14506ac99890b2f6c5542a6aec1340d
43,C05739611,80.0,307,informal,es_ja,-1,-1,896eaafb9691dd3992336145e0b80bb71fdcded7fca60380d9337981505ff682
44,C05739612,32.0,1092,formal,pt_en,-1,-1,ff6bbad3f35db0be4a114a56b76622c1d489394c70902f8fe05036e9cbcca099
45,C05739614,87.0,414,formal,nl_en,-1,-1,7c5dcba85304247985b5d02fcfb271d33fe1392f9be2d44c87de48273aa4e215
46,C05739615,194.0,1302,formal,pt_en,-1,-1,aa020d2841a3e2bdb707b0d573fba638f318ca755d23fb3820667ba4fa1f32ed
47,C05739617,80.0,308,informal,es_ja,-1,-1,84f4491092e6e70f3e86f00bc00d9bf9dea165fca972bf7de20aa90c906e6dec
48,C05739618,80.0,1408,formal,es_ja,-1,-1,6012db2cb5c51650f773b8ace525ca3db14506ac99890b2f6c5542a6aec1340d
49,C05739619,22.0,215,formal,pt_en,-1,-1,3b93e4dee2a994d9a9e1f8af90081e7b6e1d41a6b1550e65cf013b6028c666ce
50,C05739620,87.0,1435,formal,es_ja,-1,-1,b05786befa8635824d3ff774fe665f6a3d023d814605bd09e02f6ca673e83975
51,C05739622,10.0,138,formal,pt_en,-1,-1,18ed578fb9a74e501b2cb547bd2ecd8d49c5a5e2aa6a192547de2a5608944a72
52,C05739623,194.0,1539,informal,es_ja,-1,-1,3b93e4dee2a994d9a9e1f8af90081e7b6e1d41a6b1550e65cf013b6028c666ce
53,C05739624,194.0,2726,informal,pt_en,-1,-1,eed0c17d53919ae0e46153ae82d5673d4ff4afe794a57e9250c02797a3a8e715
54,C05739626,216.0,142,formal,nl_en,-1,-1,df809fcbd44f05b842f1c80d98119a0b3d6f7cd51b611db69b6602fb5a7201de
55,C05739627,80.0,1573,formal,pt_en,-1,-1,19388f0b6133ef2085e26dfc50b046836f9aada571cbd8393ef2bffc02d08d6d
56,C05739628,32.0,202,formal,fr_de,-1,-1,dcecd7919c995b8621d1e76ac4aa6a5aaa9b47ddac682095148e5838e483febd
57,C05739629,87.0,2538,informal,fr_de,-1,-1,ee56abcc350b0be80344726a1c785bdb8595057332e34441af670c39b0b67b9f
58,C05739630,87.0,277,formal,pt_en,-1,-1,7c5dcba85304247985b5d02fcfb271d33fe1392f9be2d44c87de48273aa4e215
59,C05739631,32.0,258,formal,es_ja,-1,-1,ce47137c2d64dd385a15b23687a9899bc78cf4bac0e2b660cc6453f46a5a82fe
60,C05739632,10.0,328,formal,es_ja,-1,-1,6012db2cb5c51650f773b8ace525ca3db14506ac99890b2f6c5542a6aec1340d
61,C05739633,80.0,1174,informal,fr_de,-1,-1,a59b8fa90a633fd2902283bfbe4dffa9c06e3420c03df571d825e9c800d0b03d
62,C05739634,32.0,192,formal,es_ja,-1,-1,567bfc7f6dabbbc1ac091875ac20c2462ced3960651bac9bdea71ad5f5338456
63,C05739635,87.0,750,informal,es_ja,-1,-1,164be8839e9c3842dad6cd49aad581ef94729d4e873c0c3f8c544a65975fcaba
64,C05739637,32.0,752,formal,es_ja,-1,-1,203f6f43688c9abe2e66df55828826f1e04815fa1bf289771cb530500df02ca8
65,C05739638,80.0,580,informal,nl_en,-1,-1,025c229043c3328605b2ac13096f619a48991da87767699c2fb033d438e6396d
66,C05739639,87.0,608,informal,pt_en,-1,-1,025c229043c3328605b2ac13096f619a48991da87767699c2fb033d438e6396d
67,C05739640,80.0,1300,formal,nl_en,-1,-1,36b322832c268a1fa9e64b30dc6490c6591d4b38ae28d200eca34a6d35d83671
68,C05739641,87.0,167,informal,pt_en,-1,-1,16cc06873018982ec4854b0d10ab39ac332b49f2cf30a160099c9f5bf373b72b
69,C05739643,194.0,3005,informal,pt_en,-1,-1,aa020d2841a3e2bdb707b0d573fba638f318ca755d23fb3820667ba4fa1f32ed
70,C05739644,80.0,3115,formal,nl_en,-1,-1,16cc06873018982ec4854b0d10ab39ac332b49f2cf30a160099c9f5bf373b72b
71,C05739645,150.0,486,informal,pt_en,-1,-1,d4a64577022f25bd832bc512c5302c4a7ab8c0479c4d5c1b0b3fbfd0984bfda7
72,C05739646,32.0,595,informal,fr_de,-1,-1,a0cc582a1d5abfc275a510f69e556a9d4ce8429f7986cf3418df28f066665c11
73,C05739647,80.0,3114,informal,pt_en,-1,-1,36b322832c268a1fa9e64b30dc6490c6591d4b38ae28d200eca34a6d35d83671
74,C05739648,32.0,176,formal,nl_en,-1,-1,72d26122e4aef9be62176640b5f185009fa0b9fb94cb77c6c31d94281a178228
75,C05739649,87.0,1178,formal,es_ja,-1,-1,6d58ff43d1c0ba17125ebff6b42cf28250b96bed88980f79177b8ee802084553
76,C05739650,194.0,1630,formal,pt_en,-1,-1,4d36ae956bfb22e42ad21486c07fdbce1c03e6f5eb84e99fc7bc76229c6f301e
77,C05739651,87.0,1620,informal,pt_en,-1,-1,417399241f4558806117eccd2b124e82fa03486236a24e70e032d252b97d60cd
78,C05739652,80.0,413,formal,es_ja,-1,-1,72d26122e4aef9be62176640b5f185009fa0b9fb94cb77c6c31d94281a178228
79,C05739653,32.0,1456,informal,pt_en,-1,-1,72d26122e4aef9be62176640b5f185009fa0b9fb94cb77c6c31d94281a178228
82,C05739656,80.0,1491,informal,pt_en,-1,-1,3b93e4dee2a994d9a9e1f8af90081e7b6e1d41a6b1550e65cf013b6028c666ce
83,C05739658,32.0,504,formal,pt_en,-1,-1,19388f0b6133ef2085e26dfc50b046836f9aada571cbd8393ef2bffc02d08d6d
84,C05739659,32.0,386,formal,nl_en,-1,-1,1127081f34ad35318db79213b03f96029e69ccea7b0fa225f5ffe5f66539ead9
85,C05739660,80.0,3680,formal,pt_en,-1,-1,2d67c3bed1f8c2073e3e011270175a4713b9df49855c788d4f9ca2b336d7ebc8
86,C05739661,48.0,1075,informal,nl_en,-1,-1,dcecd7919c995b8621d1e76ac4aa6a5aaa9b47ddac682095148e5838e483febd
87,C05739662,150.0,163,formal,nl_en,-1,-1,417399241f4558806117eccd2b124e82fa03486236a24e70e032d252b97d60cd
88,C05739663,87.0,1107,informal,fr_de,-1,-1,aa020d2841a3e2bdb707b0d573fba638f318ca755d23fb3820667ba4fa1f32ed
89,C05739664,80.0,222,formal,fr_de,-1,-1,164be8839e9c3842dad6cd49aad581ef94729d4e873c0c3f8c544a65975fcaba
90,C05739665,150.0,198,informal,pt_en,-1,-1,552e63435c303050a48f595d30286ef2e90d3c3b68c286021147e99358e3fe4e
91,C05739666,81.0,388,formal,nl_en,-1,-1,36b322832c268a1fa9e64b30dc6490c6591d4b38ae28d200eca34a6d35d83671
92,C05739667,80.0,949,formal,fr_de,-1,-1,aa020d2841a3e2bdb707b0d573fba638f318ca755d23fb3820667ba4fa1f32ed
93,C05739668,87.0,250,formal,pt_en,-1,-1,1127081f34ad35318db79213b03f96029e69ccea7b0fa225f5ffe5f66539ead9
94,C05739669,81.0,474,formal,es_ja,-1,-1,9ff6a362b235664a23378df54308c5c82c6000c5536462213a35b2a8ecdfee1a
95,C05739670,81.0,309,formal,pt_en,-1,-1,1127081f34ad35318db79213b03f96029e69ccea7b0fa225f5ffe5f66539ead9
96,C05739673,150.0,1010,informal,fr_de,-1,-1,587fb1667c89615c53088cce45b602cc03ef251bcaf9e09778a773e567667095
97,C05739674,170.0,11223,informal,fr_de,-1,-1,ce47137c2d64dd385a15b23687a9899bc78cf4bac0e2b660cc6453f46a5a82fe
98,C05739675,150.0,1038,informal,es_ja,-1,-1,36b322832c268a1fa9e64b30dc6490c6591d4b38ae28d200eca34a6d35d83671
99,C05739676,81.0,363,informal,fr_de,-1,-1,eed0c17d53919ae0e46153ae82d5673d4ff4afe794a57e9250c02797a3a8e715
100,C05739677,87.0,103,informal,es_ja,-1,-1,16cc06873018982ec4854b0d10ab39ac332b49f2cf30a160099c9f5bf373b72b
101,C05739678,80.0,393,informal,nl_en,-1,-1,025c229043c3328605b2ac13096f619a48991da87767699c2fb033d438e6396d
102,C05739679,48.0,233,informal,pt_en,-1,-1,896eaafb9691dd3992336145e0b80bb71fdcded7fca60380d9337981505ff682
103,C05739680,80.0,1159,informal,pt_en,-1,-1,2d67c3bed1f8c2073e3e011270175a4713b9df49855c788d4f9ca2b336d7ebc8
104,C05739681,81.0,562,informal,es_ja,-1,-1,4d36ae956bfb22e42ad21486c07fdbce1c03e6f5eb84e99fc7bc76229c6f301e
105,C05739682,80.0,149,formal,es_ja,-1,-1,52416c1c181c215812bceb196281bc1d36398c4b6a712649c5f74cde64673181
106,C05739683,87.0,1202,formal,fr_de,-1,-1,6012db2cb5c51650f773b8ace525ca3db14506ac99890b2f6c5542a6aec1340d
107,C05739684,32.0,313,formal,pt_en,-1,-1,7c5dcba85304247985b5d02fcfb271d33fe1392f9be2d44c87de48273aa4e215
108,C05739685,48.0,1352,formal,nl_en,-1,-1,36b322832c268a1fa9e64b30dc6490c6591d4b38ae28d200eca34a6d35d83671
109,C05739686,150.0,1193,informal,nl_en,-1,-1,b05786befa8635824d3ff774fe665f6a3d023d814605bd09e02f6ca673e83975
110,C05739687,32.0,1109,informal,pt_en,-1,-1,203f6f43688c9abe2e66df55828826f1e04815fa1bf289771cb530500df02ca8
111,C05739688,80.0,1216,formal,es_ja,-1,-1,6012db2cb5c51650f773b8ace525ca3db14506ac99890b2f6c5542a6aec1340d
112,C05739689,80.0,1219,formal,pt_en,-1,-1,6012db2cb5c51650f773b8ace525ca3db14506ac99890b2f6c5542a6aec1340d
114,C05739692,150.0,265,informal,nl_en,-1,-1,3a4ea7e3e3deeeb602ac21f123d5d30893f4d47b68270a6e2e00b36062a3f82e
115,C05739693,80.0,295,informal,pt_en,-1,-1,ee56abcc350b0be80344726a1c785bdb8595057332e34441af670c39b0b67b9f
117,C05739695,80.0,297,formal,nl_en,-1,-1,84506a2e169143888f4e1c7afe5bc52699ca5cf1b6cc2e5853f0c5d075a48911
118,C05739696,80.0,1570,informal,nl_en,-1,-1,ee56abcc350b0be80344726a1c785bdb8595057332e34441af670c39b0b67b9f
119,C05739697,87.0,417,formal,pt_en,-1,-1,52416c1c181c215812bceb196281bc1d36398c4b6a712649c5f74cde64673181
120,C05739698,150.0,412,informal,es_ja,-1,-1,3b93e4dee2a994d9a9e1f8af90081e7b6e1d41a6b1550e65cf013b6028c666ce
121,C05739699,80.0,1576,formal,es_ja,-1,-1,3a4ea7e3e3deeeb602ac21f123d5d30893f4d47b68270a6e2e00b36062a3f82e
122,C05739700,213.0,169,formal,nl_en,-1,-1,72d26122e4aef9be62176640b5f185009fa0b9fb94cb77c6c31d94281a178228
123,C05739701,80.0,441,informal,nl_en,-1,-1,ce47137c2d64dd385a15b23687a9899bc78cf4bac0e2b660cc6453f46a5a82fe
124,C05739702,87.0,844,formal,nl_en,-1,-1,aa020d2841a3e2bdb707b0d573fba638f318ca755d23fb3820667ba4fa1f32ed
125,C05739703,32.0,1332,formal,es_ja,-1,-1,eed0c17d53919ae0e46153ae82d5673d4ff4afe794a57e9250c02797a3a8e715
126,C05739704,87.0,2158,formal,nl_en,-1,-1,91f195978f712ca4193fe92aa1174ea78c2136eb74e0cf33d32daeeeac659ced
128,C05739706,32.0,163,informal,pt_en,-1,-1,4d36ae956bfb22e42ad21486c07fdbce1c03e6f5eb84e99fc7bc76229c6f301e
129,C05739708,80.0,187,informal,fr_de,-1,-1,6012db2cb5c51650f773b8ace525ca3db14506ac99890b2f6c5542a6aec1340d
131,C05739711,80.0,1370,informal,es_ja,-1,-1,c4a6e239681ea5e946d00bc8507da5cb673f71904b3f310218e50b2ebc4b3dfc
132,C05739714,32.0,1406,formal,fr_de,-1,-1,35b1a7722289e1b6d51c0c16f6925321bdd7ab58ceeea3a73f7621595ace23f8
133,C05739715,80.0,758,informal,fr_de,-1,-1,9ff6a362b235664a23378df54308c5c82c6000c5536462213a35b2a8ecdfee1a
134,C05739716,87.0,3252,informal,es_ja,-1,-1,7c5dcba85304247985b5d02fcfb271d33fe1392f9be2d44c87de48273aa4e215
135,C05739717,87.0,1552,formal,es_ja,-1,-1,ff6bbad3f35db0be4a114a56b76622c1d489394c70902f8fe05036e9cbcca099
136,C05739718,80.0,1450,formal,pt_en,-1,-1,7c5dcba85304247985b5d02fcfb271d33fe1392f9be2d44c87de48273aa4e215
137,C05739720,32.0,131,formal,fr_de,-1,-1,025c229043c3328605b2ac13096f619a48991da87767699c2fb033d438e6396d
138,C05739721,87.0,791,informal,es_ja,-1,-1,89225a3eb6c39c319e0175a029402b7d07bfba033fdba2bb439ee40bbda226fa
139,C05739722,80.0,3290,formal,pt_en,-1,-1,89225a3eb6c39c319e0175a029402b7d07bfba033fdba2bb439ee40bbda226fa
140,C05739724,87.0,142,informal,es_ja,-1,-1,df809fcbd44f05b842f1c80d98119a0b3d6f7cd51b611db69b6602fb5a7201de
142,C05739728,87.0,3323,informal,es_ja,-1,-1,43b3c146538308a97b29e10d7736d198790600185435d57ab927e010c1a3347e
143,C05739729,80.0,2260,informal,es_ja,-1,-1,3a4ea7e3e3deeeb602ac21f123d5d30893f4d47b68270a6e2e00b36062a3f82e
144,C05739730,32.0,144,informal,fr_de,-1,-1,dcecd7919c995b8621d1e76ac4aa6a5aaa9b47ddac682095148e5838e483febd
145,C05739731,32.0,140,formal,nl_en,-1,-1,7c5dcba85304247985b5d02fcfb271d33fe1392f9be2d44c87de48273aa4e215
146,C05739732,81.0,1987,formal,fr_de,-1,-1,743ebd748ef5df2b1245cf93d2ad75987ec399a8d6d6a453b21b071d5df15337
147,C05739733,80.0,2282,informal,pt_en,-1,-1,567bfc7f6dabbbc1ac091875ac20c2462ced3960651bac9bdea71ad5f5338456
148,C05739734,194.0,1739,informal,es_ja,-1,-1,a0cc582a1d5abfc275a510f69e556a9d4ce8429f7986cf3418df28f066665c11
149,C05739735,32.0,819,formal,pt_en,-1,-1,08790ec4a07f4ea4f0aca6da75882c7bb044c29fe642b08add9061bfd31d139b
150,C05739736,81.0,536,informal,pt_en,-1,-1,025c229043c3328605b2ac13096f619a48991da87767699c2fb033d438e6396d
151,C05739737,87.0,269,informal,nl_en,-1,-1,dcecd7919c995b8621d1e76ac4aa6a5aaa9b47ddac682095148e5838e483febd
152,C05739739,143.0,486,informal,pt_en,-1,-1,eed0c17d53919ae0e46153ae82d5673d4ff4afe794a57e9250c02797a3a8e715
153,C05739740,80.0,171,informal,fr_de,-1,-1,43b3c146538308a97b29e10d7736d198790600185435d57ab927e010c1a3347e
154,C05739741,80.0,171,formal,nl_en,-1,-1,025c229043c3328605b2ac13096f619a48991da87767699c2fb033d438e6396d
155,C05739742,32.0,536,formal,es_ja,-1,-1,d4a64577022f25bd832bc512c5302c4a7ab8c0479c4d5c1b0b3fbfd0984bfda7
156,C05739744,80.0,1313,informal,es_ja,-1,-1,6d58ff43d1c0ba17125ebff6b42cf28250b96bed88980f79177b8ee802084553
157,C05739745,80.0,648,informal,nl_en,-1,-1,43b3c146538308a97b29e10d7736d198790600185435d57ab927e010c1a3347e
158,C05739747,80.0,1132,informal,nl_en,-1,-1,743ebd748ef5df2b1245cf93d2ad75987ec399a8d6d6a453b21b071d5df15337
159,C05739748,87.0,681,formal,pt_en,-1,-1,84506a2e169143888f4e1c7afe5bc52699ca5cf1b6cc2e5853f0c5d075a48911
160,C05739750,80.0,2261,informal,pt_en,-1,-1,84f4491092e6e70f3e86f00bc00d9bf9dea165fca972bf7de20aa90c906e6dec
161,C05739752,32.0,1078,informal,pt_en,-1,-1,743ebd748ef5df2b1245cf93d2ad75987ec399a8d6d6a453b21b071d5df15337
162,C05739753,38.0,574,formal,pt_en,-1,-1,100f082c2cbfd1327676ad93e5c8e7b8d44aa419f7b398f71d9572c29b09b66c
163,C05739754,80.0,2181,formal,pt_en,-1,-1,203f6f43688c9abe2e66df55828826f1e04815fa1bf289771cb530500df02ca8
164,C05739755,80.0,1181,formal,pt_en,-1,-1,417399241f4558806117eccd2b124e82fa03486236a24e70e032d252b97d60cd
165,C05739756,32.0,3399,formal,fr_de,-1,-1,aa020d2841a3e2bdb707b0d573fba638f318ca755d23fb3820667ba4fa1f32ed
166,C05739757,32.0,891,informal,fr_de,-1,-1,df809fcbd44f05b842f1c80d98119a0b3d6f7cd51b611db69b6602fb5a7201de
167,C05739758,32.0,409,informal,pt_en,-1,-1,19388f0b6133ef2085e26dfc50b046836f9aada571cbd8393ef2bffc02d08d6d
168,C05739759,87.0,104,formal,fr_de,-1,-1,a23cd6eeec0720abcfb286b6222e7b9db073b9f789a5a85523da96743016b575
169,C05739760,87.0,380,formal,nl_en,-1,-1,18ed578fb9a74e501b2cb547bd2ecd8d49c5a5e2aa6a192547de2a5608944a72
170,C05739762,32.0,1118,formal,nl_en,-1,-1,16cc06873018982ec4854b0d10ab39ac332b49f2cf30a160099c9f5bf373b72b
171,C05739763,80.0,125,informal,nl_en,-1,-1,417399241f4558806117eccd2b124e82fa03486236a24e70e032d252b97d60cd
172,C05739764,32.0,231,informal,fr_de,-1,-1,a23cd6eeec0720abcfb286b6222e7b9db073b9f789a5a85523da96743016b575
173,C05739765,32.0,156,formal,nl_en,-1,-1,08790ec4a07f4ea4f0aca6da75882c7bb044c29fe642b08add9061bfd31d139b
174,C05739766,170.0,1622,formal,pt_en,-1,-1,19388f0b6133ef2085e26dfc50b046836f9aada571cbd8393ef2bffc02d08d6d
175,C05739767,87.0,1203,informal,pt_en,-1,-1,c4a6e239681ea5e946d00bc8507da5cb673f71904b3f310218e50b2ebc4b3dfc
176,C05739768,194.0,2143,formal,es_ja,-1,-1,9ff6a362b235664a23378df54308c5c82c6000c5536462213a35b2a8ecdfee1a
177,C05739769,80.0,2177,informal,pt_en,-1,-1,1127081f34ad35318db79213b03f96029e69ccea7b0fa225f5ffe5f66539ead9
178,C05739771,80.0,2179,formal,pt_en,-1,-1,629c3a9b2c7afa7e8ab4c8f37c9f2acd0a08696a6d98a6c30b12920010a53a37
179,C05739772,87.0,1224,informal,pt_en,-1,-1,84506a2e169143888f4e1c7afe5bc52699ca5cf1b6cc2e5853f0c5d075a48911
180,C05739774,32.0,965,informal,pt_en,-1,-1,a23cd6eeec0720abcfb286b6222e7b9db073b9f789a5a85523da96743016b575
181,C05739775,80.0,1229,formal,nl_en,-1,-1,3b93e4dee2a994d9a9e1f8af90081e7b6e1d41a6b1550e65cf013b6028c666ce
182,C05739777,81.0,301,informal,es_ja,-1,-1,025c229043c3328605b2ac13096f619a48991da87767699c2fb033d438e6396d
183,C05739778,80.0,448,formal,pt_en,-1,-1,896eaafb9691dd3992336145e0b80bb71fdcded7fca60380d9337981505ff682
184,C05739779,32.0,2450,informal,pt_en,-1,-1,2d67c3bed1f8c2073e3e011270175a4713b9df49855c788d4f9ca2b336d7ebc8
185,C05739780,32.0,156,formal,es_ja,-1,-1,567bfc7f6dabbbc1ac091875ac20c2462ced3960651bac9bdea71ad5f5338456
186,C05739781,80.0,254,informal,nl_en,-1,-1,84506a2e169143888f4e1c7afe5bc52699ca5cf1b6cc2e5853f0c5d075a48911
187,C05739783,87.0,747,formal,fr_de,-1,-1,89225a3eb6c39c319e0175a029402b7d07bfba033fdba2bb439ee40bbda226fa
188,C05739784,32.0,414,formal,pt_en,-1,-1,36b322832c268a1fa9e64b30dc6490c6591d4b38ae28d200eca34a6d35d83671
189,C05739785,80.0,1411,formal,pt_en,-1,-1,36b322832c268a1fa9e64b30dc6490c6591d4b38ae28d200eca34a6d35d83671
190,C05739786,32.0,753,informal,pt_en,-1,-1,2d67c3bed1f8c2073e3e011270175a4713b9df49855c788d4f9ca2b336d7ebc8
191,C05739787,32.0,316,formal,es_ja,-1,-1,19388f0b6133ef2085e26dfc50b046836f9aada571cbd8393ef2bffc02d08d6d
192,C05739788,80.0,283,formal,pt_en,-1,-1,36b322832c268a1fa9e64b30dc6490c6591d4b38ae28d200eca34a6d35d83671
194,C05739790,80.0,166,formal,es_ja,-1,-1,743ebd748ef5df2b1245cf93d2ad75987ec399a8d6d6a453b21b071d5df15337
195,C05739791,80.0,225,formal,fr_de,-1,-1,08790ec4a07f4ea4f0aca6da75882c7bb044c29fe642b08add9061bfd31d139b
196,C05739792,170.0,377,formal,es_ja,-1,-1,08790ec4a07f4ea4f0aca6da75882c7bb044c29fe642b08add9061bfd31d139b
197,C05739793,80.0,214,informal,es_ja,-1,-1,567bfc7f6dabbbc1ac091875ac20c2462ced3960651bac9bdea71ad5f5338456
198,C05739794,80.0,2446,formal,es_ja,-1,-1,025c229043c3328605b2ac13096f619a48991da87767699c2fb033d438e6396d
199,C05739795,32.0,254,formal,fr_de,-1,-1,ee56abcc350b0be80344726a1c785bdb8595057332e34441af670c39b0b67b9f
200,C05739796,80.0,1249,formal,es_ja,-1,-1,203f6f43688c9abe2e66df55828826f1e04815fa1bf289771cb530500df02ca8
201,C05739797,80.0,280,informal,pt_en,-1,-1,91f195978f712ca4193fe92aa1174ea78c2136eb74e0cf33d32daeeeac659ced
202,C05739798,80.0,1103,formal,es_ja,-1,-1,6f053273db5aca5095bea082c7125096e5414d07e417cf9f45d3880315bba9f9
203,C05739799,32.0,687,informal,pt_en,-1,-1,36b322832c268a1fa9e64b30dc6490c6591d4b38ae28d200eca34a6d35d83671
205,C05739801,150.0,219,formal,nl_en,-1,-1,19388f0b6133ef2085e26dfc50b046836f9aada571cbd8393ef2bffc02d08d6d
206,C05739802,10.0,1312,informal,nl_en,-1,-1,16cc06873018982ec4854b0d10ab39ac332b49f2cf30a160099c9f5bf373b72b
207,C05739803,87.0,1356,formal,pt_en,-1,-1,3a4ea7e3e3deeeb602ac21f123d5d30893f4d47b68270a6e2e00b36062a3f82e
208,C05739804,32.0,1248,informal,pt_en,-1,-1,23a2b90d03cc12039fa8e0f4a765c322b98fa0bda466f2bf76178ba235699adc
209,C05739805,80.0,1282,formal,nl_en,-1,-1,8171ce8697ccbc42991a2eca38cbdee8f96fd794701aa1b33ed85b27f64af5e0
210,C05739808,87.0,323,informal,pt_en,-1,-1,b05786befa8635824d3ff774fe665f6a3d023d814605bd09e02f6ca673e83975
211,C05739809,87.0,1422,formal,es_ja,-1,-1,b05786befa8635824d3ff774fe665f6a3d023d814605bd09e02f6ca673e83975
212,C05739810,87.0,2044,formal,nl_en,-1,-1,567bfc7f6dabbbc1ac091875ac20c2462ced3960651bac9bdea71ad5f5338456
213,C05739811,32.0,491,formal,es_ja,-1,-1,587fb1667c89615c53088cce45b602cc03ef251bcaf9e09778a773e567667095
